🏎  Subscribers — Cleaned & Transformed,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Rows: 800   |   Cols: 18   |   Cleaned & Transformed — PitWall Analytics,,,,,,,,,,,,,,,,,
Subscriber Id,Signup Date,Cohort Month,Plan,Monthly Price Usd,Region,Age,Age Group,Acquisition Channel,Churned,Churn Date,Churn Reason,Tenure Months,Renewal Count,Lifetime Revenue Usd,Nps Score,Nps Category,Plan Upgrade
SUB0001,2024-10-16 00:00:00,2024-10,Pit Lane,9.99,Latin America,22,18-24,Organic,Yes,2024-12-02 00:00:00,Lack of Content,1.5,0,14.98,7,Passive,No
SUB0002,2023-08-17 00:00:00,2023-08,Pit Lane,9.99,UAE,43,35-44,Social Media,Yes,2023-11-07 00:00:00,Technical Issues,2.7,1,26.97,7,Passive,No
SUB0003,2023-03-31 00:00:00,2023-03,Pit Lane,9.99,Latin America,26,25-34,Social Media,No,,Not Churned,21.1,20,210.79,5,Detractor,Yes
SUB0004,2023-04-06 00:00:00,2023-04,Pit Lane,9.99,Europe,18,18-24,Organic,Yes,2024-10-04 00:00:00,Technical Issues,18,17,179.82,5,Detractor,No
SUB0005,2023-01-28 00:00:00,2023-01,Podium,19.99,Europe,25,25-34,Paid Ad,No,,Not Churned,23.1,22,461.77,3,Detractor,No
SUB0006,2024-07-12 00:00:00,2024-07,Podium,19.99,Europe,26,25-34,Organic,No,,Not Churned,5.7,4,113.94,7,Passive,No
SUB0007,2023-10-12 00:00:00,2023-10,Podium,19.99,Europe,26,25-34,Paid Ad,No,,Not Churned,14.7,13,293.85,8,Passive,Yes
SUB0008,2023-06-13 00:00:00,2023-06,Pit Lane,9.99,USA,30,25-34,Referral,No,,Not Churned,18.6,17,185.81,4,Detractor,No
SUB0009,2023-06-09 00:00:00,2023-06,Pit Lane,9.99,Middle East,20,18-24,Paid Ad,Yes,2024-06-17 00:00:00,Too Expensive,12.3,11,122.88,8,Passive,No
SUB0010,2023-04-05 00:00:00,2023-04,Podium,19.99,USA,36,35-44,Paid Ad,No,,Not Churned,20.9,20,417.79,7,Passive,No
SUB0011,2023-12-19 00:00:00,2023-12,Pit Lane,9.99,Europe,22,18-24,Paid Ad,No,,Not Churned,12.4,11,123.88,3,Detractor,No
SUB0012,2024-04-15 00:00:00,2024-04,Pit Lane,9.99,Asia,33,25-34,Referral,No,,Not Churned,8.5,7,84.92,3,Detractor,No
SUB0013,2024-01-23 00:00:00,2024-01,Pit Lane,9.99,Asia,35,35-44,Paid Ad,Yes,2024-07-21 00:00:00,Technical Issues,5.9,5,58.94,8,Passive,No
SUB0014,2024-01-06 00:00:00,2024-01,Podium,19.99,Asia,24,18-24,Paid Ad,No,,Not Churned,11.8,11,235.88,6,Detractor,No
SUB0015,2023-02-16 00:00:00,2023-02,Paddock Club,39.99,USA,29,25-34,Referral,No,,Not Churned,22.5,21,899.78,7,Passive,No
SUB0016,2023-03-23 00:00:00,2023-03,Pit Lane,9.99,Asia,30,25-34,Organic,No,,Not Churned,21.3,20,212.79,8,Passive,No
SUB0017,2024-01-25 00:00:00,2024-01,Pit Lane,9.99,USA,42,35-44,Social Media,Yes,2024-08-28 00:00:00,Lack of Content,7.1,6,70.93,7,Passive,No
SUB0018,2024-01-15 00:00:00,2024-01,Pit Lane,9.99,USA,31,25-34,Referral,No,,Not Churned,11.5,10,114.88,5,Detractor,No
SUB0019,2024-11-30 00:00:00,2024-11,Pit Lane,9.99,USA,26,25-34,Social Media,No,,Not Churned,1,0,9.99,3,Detractor,No
SUB0020,2023-06-25 00:00:00,2023-06,Podium,19.99,Europe,24,18-24,Paid Ad,No,,Not Churned,18.2,17,363.82,6,Detractor,No
SUB0021,2024-04-18 00:00:00,2024-04,Paddock Club,39.99,Asia,33,25-34,Organic,No,,Not Churned,8.4,7,335.92,8,Passive,No
SUB0022,2024-10-17 00:00:00,2024-10,Pit Lane,9.99,Asia,25,25-34,Organic,No,,Not Churned,2.5,1,24.98,5,Detractor,No
SUB0023,2023-11-29 00:00:00,2023-11,Pit Lane,9.99,Europe,18,18-24,Social Media,No,,Not Churned,13.1,12,130.87,7,Passive,No
SUB0024,2023-08-23 00:00:00,2023-08,Pit Lane,9.99,UAE,29,25-34,Referral,No,,Not Churned,16.3,15,162.84,7,Passive,No
SUB0025,2024-02-15 00:00:00,2024-02,Podium,19.99,USA,30,25-34,Referral,No,,Not Churned,10.5,9,209.9,4,Detractor,No
SUB0026,2024-08-03 00:00:00,2024-08,Pit Lane,9.99,Europe,31,25-34,Paid Ad,No,,Not Churned,4.9,4,48.95,10,Promoter,No
SUB0027,2024-11-02 00:00:00,2024-11,Pit Lane,9.99,Europe,26,25-34,Social Media,No,,Not Churned,1.9,0,18.98,5,Detractor,No
SUB0028,2024-10-20 00:00:00,2024-10,Pit Lane,9.99,Latin America,40,35-44,Paid Ad,No,,Not Churned,2.4,1,23.98,7,Passive,No
SUB0029,2023-09-10 00:00:00,2023-09,Pit Lane,9.99,Asia,42,35-44,Referral,No,,Not Churned,15.7,14,156.84,9,Promoter,No
SUB0030,2024-08-21 00:00:00,2024-08,Podium,19.99,UAE,23,18-24,Social Media,No,,Not Churned,4.3,3,85.96,6,Detractor,No
SUB0031,2024-01-06 00:00:00,2024-01,Pit Lane,9.99,USA,31,25-34,Organic,Yes,2024-04-15 00:00:00,Technical Issues,3.3,2,32.97,5,Detractor,No
SUB0032,2024-05-20 00:00:00,2024-05,Pit Lane,9.99,USA,23,18-24,Paid Ad,Yes,2024-07-01 00:00:00,Too Expensive,1.4,0,13.99,9,Promoter,No
SUB0033,2023-06-06 00:00:00,2023-06,Paddock Club,39.99,Europe,28,25-34,Referral,No,,Not Churned,18.9,18,755.81,9,Promoter,No
SUB0034,2024-03-08 00:00:00,2024-03,Podium,19.99,Asia,18,18-24,Organic,No,,Not Churned,9.8,8,195.9,7,Passive,No
SUB0035,2024-09-02 00:00:00,2024-09,Pit Lane,9.99,Asia,19,18-24,Social Media,No,,Not Churned,3.9,3,38.96,8,Passive,No
SUB0036,2024-07-20 00:00:00,2024-07,Pit Lane,9.99,Asia,33,25-34,Social Media,No,,Not Churned,5.4,4,53.95,7,Passive,Yes
SUB0037,2023-04-28 00:00:00,2023-04,Podium,19.99,UAE,32,25-34,Paid Ad,No,,Not Churned,20.1,19,401.8,8,Passive,No
SUB0038,2023-10-01 00:00:00,2023-10,Pit Lane,9.99,UAE,45,45-54,Organic,No,,Not Churned,15,14,149.85,7,Passive,No
SUB0039,2023-10-28 00:00:00,2023-10,Podium,19.99,Europe,24,18-24,Organic,No,,Not Churned,14.1,13,281.86,5,Detractor,No
SUB0040,2023-09-27 00:00:00,2023-09,Podium,19.99,USA,37,35-44,Social Media,No,,Not Churned,15.1,14,301.85,10,Promoter,No
SUB0041,2024-06-03 00:00:00,2024-06,Pit Lane,9.99,Europe,38,35-44,Paid Ad,No,,Not Churned,6.9,6,68.93,6,Detractor,No
SUB0042,2023-11-02 00:00:00,2023-11,Podium,19.99,Asia,28,25-34,Organic,No,,Not Churned,14,13,279.86,10,Promoter,No
SUB0043,2023-07-23 00:00:00,2023-07,Pit Lane,9.99,Asia,31,25-34,Paid Ad,Yes,2024-09-15 00:00:00,Lack of Content,13.8,13,137.86,6,Detractor,No
SUB0044,2024-07-06 00:00:00,2024-07,Pit Lane,9.99,Middle East,29,25-34,Social Media,No,,Not Churned,5.8,4,57.94,7,Passive,No
SUB0045,2023-01-01 00:00:00,2023-01,Pit Lane,9.99,Middle East,27,25-34,Referral,No,,Not Churned,24,23,239.76,7,Passive,No
SUB0046,2023-04-25 00:00:00,2023-04,Pit Lane,9.99,Asia,32,25-34,Referral,No,,Not Churned,20.2,19,201.8,4,Detractor,No
SUB0047,2023-11-11 00:00:00,2023-11,Paddock Club,39.99,USA,32,25-34,Organic,No,,Not Churned,13.7,12,547.86,6,Detractor,No
SUB0048,2024-08-03 00:00:00,2024-08,Paddock Club,39.99,Europe,33,25-34,Organic,No,,Not Churned,4.9,4,195.95,9,Promoter,No
SUB0049,2024-05-12 00:00:00,2024-05,Podium,19.99,USA,38,35-44,Referral,No,,Not Churned,7.7,6,153.92,6,Detractor,No
SUB0050,2024-06-29 00:00:00,2024-06,Podium,19.99,Asia,35,35-44,Social Media,No,,Not Churned,6.1,5,121.94,10,Promoter,No
SUB0051,2024-05-01 00:00:00,2024-05,Podium,19.99,USA,32,25-34,Organic,No,,Not Churned,8,7,159.92,7,Passive,No
SUB0052,2024-06-24 00:00:00,2024-06,Pit Lane,9.99,Europe,27,25-34,Paid Ad,No,,Not Churned,6.2,5,61.94,6,Detractor,No
SUB0053,2023-08-05 00:00:00,2023-08,Pit Lane,9.99,USA,27,25-34,Paid Ad,No,,Not Churned,16.9,16,168.83,6,Detractor,No
SUB0054,2023-07-25 00:00:00,2023-07,Pit Lane,9.99,Asia,31,25-34,Referral,No,,Not Churned,17.2,16,171.83,4,Detractor,No
SUB0055,2024-11-18 00:00:00,2024-11,Podium,19.99,Europe,50,45-54,Organic,No,,Not Churned,1.4,0,27.99,10,Promoter,No
SUB0056,2024-06-13 00:00:00,2024-06,Podium,19.99,Asia,18,18-24,Social Media,No,,Not Churned,6.6,5,131.93,7,Passive,No
SUB0057,2023-03-07 00:00:00,2023-03,Podium,19.99,Europe,24,18-24,Referral,No,,Not Churned,21.8,21,435.78,10,Promoter,No
SUB0058,2023-08-24 00:00:00,2023-08,Pit Lane,9.99,Europe,45,45-54,Paid Ad,No,,Not Churned,16.3,15,162.84,7,Passive,Yes
SUB0059,2024-10-08 00:00:00,2024-10,Podium,19.99,Europe,34,25-34,Social Media,Yes,2024-11-11 00:00:00,Too Expensive,1.1,0,21.99,10,Promoter,No
SUB0060,2023-12-05 00:00:00,2023-12,Podium,19.99,Europe,41,35-44,Paid Ad,Yes,2024-05-04 00:00:00,Found Alternative,5,4,99.95,5,Detractor,No
SUB0061,2024-11-16 00:00:00,2024-11,Pit Lane,9.99,UAE,29,25-34,Paid Ad,No,,Not Churned,1.5,0,14.98,9,Promoter,No
SUB0062,2024-08-07 00:00:00,2024-08,Pit Lane,9.99,USA,28,25-34,Referral,No,,Not Churned,4.8,3,47.95,4,Detractor,No
SUB0063,2024-04-29 00:00:00,2024-04,Pit Lane,9.99,USA,29,25-34,Organic,No,,Not Churned,8.1,7,80.92,5,Detractor,No
SUB0064,2023-04-10 00:00:00,2023-04,Podium,19.99,USA,23,18-24,Social Media,No,,Not Churned,20.7,20,413.79,8,Passive,No
SUB0065,2024-02-25 00:00:00,2024-02,Pit Lane,9.99,USA,36,35-44,Paid Ad,No,,Not Churned,10.2,9,101.9,6,Detractor,No
SUB0066,2024-11-20 00:00:00,2024-11,Podium,19.99,Europe,48,45-54,Organic,No,,Not Churned,1.3,0,25.99,3,Detractor,No
SUB0067,2023-03-04 00:00:00,2023-03,Paddock Club,39.99,Europe,27,25-34,Social Media,No,,Not Churned,21.9,21,875.78,8,Passive,No
SUB0068,2023-04-22 00:00:00,2023-04,Pit Lane,9.99,Asia,26,25-34,Paid Ad,Yes,2023-12-02 00:00:00,Technical Issues,7.4,6,73.93,8,Passive,No
SUB0069,2024-04-04 00:00:00,2024-04,Pit Lane,9.99,USA,33,25-34,Organic,Yes,2024-06-19 00:00:00,Found Alternative,2.5,1,24.98,7,Passive,No
SUB0070,2024-04-18 00:00:00,2024-04,Podium,19.99,Europe,36,35-44,Paid Ad,Yes,2024-06-06 00:00:00,No Time,1.6,0,31.98,8,Passive,No
SUB0071,2024-07-17 00:00:00,2024-07,Paddock Club,39.99,Europe,25,25-34,Referral,Yes,2024-08-19 00:00:00,Too Expensive,1.1,0,43.99,10,Promoter,No
SUB0072,2023-08-31 00:00:00,2023-08,Paddock Club,39.99,Asia,37,35-44,Referral,No,,Not Churned,16,15,639.84,9,Promoter,No
SUB0073,2023-08-07 00:00:00,2023-08,Pit Lane,9.99,Middle East,26,25-34,Organic,No,,Not Churned,16.8,16,167.83,8,Passive,No
SUB0074,2023-06-18 00:00:00,2023-06,Paddock Club,39.99,Europe,33,25-34,Paid Ad,No,,Not Churned,18.5,17,739.82,7,Passive,No
SUB0075,2023-09-29 00:00:00,2023-09,Paddock Club,39.99,USA,18,18-24,Organic,No,,Not Churned,15.1,14,603.85,7,Passive,No
SUB0076,2023-10-20 00:00:00,2023-10,Pit Lane,9.99,USA,35,35-44,Social Media,No,,Not Churned,14.4,13,143.86,7,Passive,No
SUB0077,2024-07-23 00:00:00,2024-07,Pit Lane,9.99,USA,18,18-24,Paid Ad,No,,Not Churned,5.3,4,52.95,9,Promoter,No
SUB0078,2023-07-14 00:00:00,2023-07,Paddock Club,39.99,Europe,34,25-34,Paid Ad,No,,Not Churned,17.6,16,703.82,6,Detractor,No
SUB0079,2024-08-16 00:00:00,2024-08,Podium,19.99,UAE,27,25-34,Paid Ad,No,,Not Churned,4.5,3,89.96,7,Passive,Yes
SUB0080,2023-11-18 00:00:00,2023-11,Podium,19.99,USA,19,18-24,Paid Ad,Yes,2024-10-12 00:00:00,No Time,10.8,9,215.89,4,Detractor,No
SUB0081,2024-05-29 00:00:00,2024-05,Podium,19.99,Middle East,25,25-34,Social Media,No,,Not Churned,7.1,6,141.93,9,Promoter,No
SUB0082,2023-02-28 00:00:00,2023-02,Pit Lane,9.99,Asia,37,35-44,Organic,No,,Not Churned,22.1,21,220.78,6,Detractor,Yes
SUB0083,2023-07-10 00:00:00,2023-07,Pit Lane,9.99,USA,25,25-34,Paid Ad,Yes,2023-09-12 00:00:00,Lack of Content,2.1,1,20.98,6,Detractor,No
